x	y	z	zMean
21.65	24.975	0	0
21.65	25.075	0	0
21.65	25.175	0	0
21.65	25.275	0	0
21.65	25.375	0	0
21.65	25.475	0	0
21.65	25.575	0	0
21.65	25.675	0	0
21.65	25.775	0	0
21.65	25.875	0	0
21.65	25.975	0	0
21.65	26.075	0	0
21.65	26.175	0	0
21.65	26.275	0	0
21.65	26.375	0	0
21.65	26.475	0	0
21.65	26.575	0	0
21.65	26.675	0	0
21.65	26.775	0	0
21.65	26.875	0	0
21.65	26.975	0	0
21.65	27.075	0	0
21.65	27.175	0	0
21.65	27.275	0	0
21.65	27.375	0	0
21.65	27.475	0	0
21.65	27.575	0	0
21.65	27.675	0	0
21.65	27.775	1	0.010416667
21.65	27.875	0	0
21.65	27.975	3	0.03125
21.65	28.075	4	0.041666667
21.65	28.175	5	0.052083333
21.65	28.275	21	0.21875
21.65	28.375	33	0.34375
21.65	28.475	54	0.5625
21.65	28.575	72	0.75
21.65	28.675	88	0.91666667
21.65	28.775	91	0.94791667
21.65	28.875	97	1.0104167
21.65	28.975	103	1.0729167
21.65	29.075	131	1.3645833
21.65	29.175	139	1.4479167
21.65	29.275	143	1.4895833
21.65	29.375	195	2.03125
21.65	29.475	168	1.75
21.65	29.575	185	1.9270833
21.65	29.675	189	1.96875
21.65	29.775	203	2.1145833
21.65	29.875	213	2.21875
21.65	29.975	224	2.3333333
21.65	30.075	196	2.0416667
21.65	30.175	194	2.0208333
21.65	30.275	175	1.8229167
21.65	30.375	193	2.0104167
21.65	30.475	150	1.5625
21.65	30.575	141	1.46875
21.65	30.675	143	1.4895833
21.65	30.775	150	1.5625
21.65	30.875	142	1.4791667
21.65	30.975	129	1.34375
21.65	31.075	135	1.40625
21.65	31.175	148	1.5416667
21.65	31.275	147	1.53125
21.65	31.375	152	1.5833333
21.65	31.475	162	1.6875
21.65	31.575	169	1.7604167
21.65	31.675	180	1.875
21.65	31.775	165	1.71875
21.65	31.875	182	1.8958333
21.65	31.975	147	1.53125
21.65	32.075	197	2.0520833
21.65	32.175	155	1.6145833
21.65	32.275	141	1.46875
21.65	32.375	154	1.6041667
21.65	32.475	167	1.7395833
21.65	32.575	143	1.4895833
21.65	32.675	132	1.375
21.65	32.775	131	1.3645833
21.65	32.875	102	1.0625
21.65	32.975	88	0.91666667
21.65	33.075	89	0.92708333
21.65	33.175	79	0.82291667
21.65	33.275	59	0.61458333
21.65	33.375	32	0.33333333
21.65	33.475	38	0.39583333
21.65	33.575	20	0.20833333
21.65	33.675	18	0.1875
21.65	33.775	13	0.13541667
21.65	33.875	3	0.03125
21.65	33.975	4	0.041666667
21.65	34.075	3	0.03125
21.65	34.175	2	0.020833333
21.65	34.275	0	0
21.65	34.375	0	0
21.65	34.475	0	0
21.65	34.575	0	0
21.65	34.675	0	0
21.65	34.775	0	0
21.65	34.875	0	0
